City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,karatau,43.1667,70.4667,17.92,22,95,1.85,KZ,1686611209
83,punta arenas,-53.15,-70.9167,6.06,70,20,11.83,CL,1686611166
84,bei'an,24.5399,109.533,22.61,85,94,2.39,CN,1686611210
85,eldridge,41.6581,-90.5846,23.58,31,100,5.14,US,1686611042
86,menaka,15.9182,2.4022,30.91,51,94,6.27,ML,1686611210
87,georgetown,5.4112,100.3354,28.96,81,20,3.6,MY,1686611121
88,souillac,-20.5167,57.5167,24.21,94,40,2.57,MU,1686611043
89,tazovsky,67.4667,78.7,0.65,97,100,8.34,RU,1686611210
90,lebu,-37.6167,-73.65,9.11,81,0,6.64,CL,1686611210
91,kruisfontein,-34.0033,24.7314,11.6,67,97,6.22,ZA,1686611210
92,hawaiian paradise park,19.5933,-154.9731,28.73,69,20,3.6,US,1686611210
93,uturoa,-16.7333,-151.4333,27.15,69,4,8.01,PF,1686611039
94,touros,-5.1989,-35.4608,25.13,85,1,5.03,BR,1686611211
95,diu,20.7141,70.9822,27.86,87,100,10.92,IN,1686611172
96,lisala,2.15,21.5167,21.07,98,54,0.99,CD,1686611034
97,al harak,32.7493,36.3099,18.25,74,0,3.91,SY,1686611211
98,port saint john's,-31.6229,29.5448,15.76,76,61,3.21,ZA,1686611211
99,birao,10.2849,22.7882,24.64,81,95,3.07,CF,1686611211
100,barra de santo antonio,-9.4047,-35.5072,23.6,85,7,4.48,BR,1686611211
101,rondonopolis,-16.4708,-54.6356,20.83,83,51,4.13,BR,1686611149
102,kingston,17.997,-76.7936,30.69,64,20,9.77,JM,1686611140
103,lata,40.1629,-8.3327,16.0,98,26,1.29,PT,1686611212
104,aljezur,37.3191,-8.8033,17.9,90,72,4.92,PT,1686611212
105,geraldton,-28.7667,114.6,8.23,87,0,4.63,AU,1686610990
106,acarau,-2.8856,-40.12,26.44,82,1,6.58,BR,1686611212
107,codrington,-38.2667,141.9667,10.02,88,55,6.13,AU,1686610986
108,port mathurin,-19.6833,63.4167,24.87,67,64,7.07,MU,1686611212
109,zheshart,62.0731,49.5733,10.14,94,86,3.06,RU,1686611212
110,tabou,4.423,-7.3528,25.24,78,83,4.11,CI,1686611212
111,aasiaat,68.7098,-52.8699,0.86,77,57,8.72,GL,1686611212
112,ugoofaaru,5.6667,73.0,28.74,80,89,7.86,MV,1686611213
113,mishan,45.55,131.8833,17.73,80,84,1.48,CN,1686611213
114,daru,-9.0763,143.2092,26.14,87,95,5.76,PG,1686611213
115,alaghsas,17.0187,8.0168,32.79,33,63,2.27,NE,1686611213
